Completion time,Title,section_canon,Include,gold_in_115,link,description,Submitter
2026-06-02 09:20:01,Givan announces award of professional learning programme for new and aspiring school principals,four_nations,Included 115,True,https://www.education-ni.gov.uk/news/givan-announces-award-professional-learning-programme-new-and-aspiring-school-principals,Education Minister Paul Givan has announced the award of a three-year contract for a professional learning programme to be developed and delivered by a consortium of local Higher Education Institutions in Northern Ireland,GM
2026-06-02 13:02:54,"New heads need more than a one-off qualification, say charities",teacher_rrd,Exclude,False,https://schoolsweek.co.uk/new-heads-need-more-than-a-one-off-qualification-say-charities/,Teach First and the Reach Foundation have devised a new programme to help 'accelerate' aspiring headteachers' careers while Teacher Tapp and SchoolDash research suggests that the proportion of deputy and assistant heads aspiring to headship has fallen.,RF
2026-06-02 13:04:41,Secondary teacher job adverts hit a historic low as market ‘contracts’,teacher_rrd,Included 115,True,https://schoolsweek.co.uk/secondary-teacher-job-adverts-hit-a-historic-low-as-market-contracts/,The latest annual recruitment and retention report from Teacher Tapp and SchoolDash shows secondary teacher vacancies have hit the lowest level in the nine-year period data is available.,RF
2026-06-02 14:29:39,Five things the government can do to ensure SEND reforms promote educational equity ,what_matters_ed,Included 115,True,https://www.faireducation.org.uk/news-blogs/five-government-asks-to-ensure-send-reforms-promote-educational-equity,Tom Symons identifies five ways in which the proposals could go further to ensure that they actively promote educational equity and are given the best chance to work successfully in practice,GM
2026-06-02 15:51:00,Teacher resilience ‘depends on system-wide change’,teacher_rrd,Included 115,True,https://www.schoolmanagementplus.com/heads-governors-school-leadership-governance/when-parents-split-schools-must-step-up/,"Reports on research carried out by Steph Ainsworth and colleagues on how schools can mitigate some of the workload pressures on teachers with strategies that foster greater resilience, while lasting improvement can only come from system-level reforms.",GM
2026-06-02 16:00:56,Call it what it is: The impact of online misogyny on children and young people's attitudes and behaviour,edtech,,False,https://www.barnardos.org.uk/sites/default/files/uploads/26535_Misogyny%20Campaign_Policy%20Briefing_Digital%20%281%29.pdf,", Barnardo's launch a campaign to address online abuse, based on polling 4000 young people across the UK about their experiences",GM
2026-06-02 16:35:14,A healthy labour market?,teacher_rrd,Included 114,False,https://www.nfer.ac.uk/blogs/a-healthy-labour-market/,Explores how the staffing picture is changing in primary schools,GM
2026-06-03 17:54:36,Limitations of technical fixes in AI policy,edtech,Included 115,True,https://www.csap.cam.ac.uk/limitations-of-technical-fixes-in-ai-policy/?,"A blog from  Dr Inga Ulnicane  on why policymakers' assumption that AI is a quick technical fix to highly complex and uncertain social problems, is unlikely to be realised .",GM
2026-06-04 19:59:31,Uncovering Edtech's Embedded Values: Making the Case for Socio-Technical Audits in Ethnographic Inquiry,update_from_pi,Included 115,True,https://doi.org/10.1111/aeq.70091,A new open access publication showing how using socio-technical audits as part of ethnographic inquiry can help surface the underlying logics of educational technologies while illuminating how these are interpreted and negotiated within everyday practice.  ,Scott
2026-06-06 21:58:49,Experts at Hand: Everything you need to know ,political_environment_key_organisations,Included 115,True,https://educationhub.blog.gov.uk/2026/06/experts-at-hand-everything-you-need-to-know/,"Education Hub blog that explains how the Experts at Hand policy offer will bring specialists into schools, early years and post-16 education settings, so children can get help earlier",GM
2026-06-06 22:05:00,When multilateralism fractures: Reimagining educational cooperation from the Nigerian context,what_matters_ed,Included,False,https://www.unesco.org/en/articles/when-multilateralism-fractures-reimagining-educational-cooperation-nigerian-context,"An article setting out lessons learnt from working in Nigeria that suggest more plural, meaingful and locally grounded pathways for international cooperation.",GM
2026-06-08 08:57:51,"The London school that has screen-free days for pupils, teachers – and parents",edtech,Included,False,"https://www.theguardian.com/education/2026/jun/07/london-school-screen-free-mondays-for-pupils-teachers-and-parents#:~:text=And%20not%20just%20phones%3A%20at,came%20from%20the%20pupils%20themselves.","Reports on a school where pupils persuaded teachers to adopt screen free days,  then got their parents to join in",GM
2026-06-08 09:03:46,Attendance mentors intervention: year 2 and 3 evaluation,political_environment_key_organisations,,False,https://www.gov.uk/government/publications/attendance-mentors-intervention-year-2-and-3-evaluation?utm_medium=email&utm_campaign=govuk-notifications-topic&utm_source=46063bf8-562b-4c75-9f16-1a310e721862&utm_content=daily,Reports on the final 2 years of an intervention to provide provide one-to-one support to young people who were persistently or severely absent from school with the aim of developing tailored strategies for improvement. Intervention provided by Barnardo's across five local authorities.,RF
2026-06-08 09:05:14,"‘I love it, but I hate it’ – Young people’s experiences and expectations of growing up digital",what_matters_ed,Included,False,https://www.nuffieldfoundation.org/evidence-and-impact/our-programmes/grown-up/i-love-it-but-i-hate-it?utm_source=salesforce&utm_medium=email&utm_campaign=loveithateit&mc_cid=194f61e7a9&mc_eid=a3ff0c11d7,This report presents new evidence about the experiences and expectations of the first generation of young people growing up with digital technology in early twenty-first century Britain.  ,RF
2026-06-08 09:07:42,Parental support for a social media minimum age of 16,political_environment_key_organisations,Exclude? support for policy not research,False,https://www.gov.uk/government/publications/parental-support-for-a-social-media-minimum-age-of-16?utm_medium=email&utm_campaign=govuk-notifications-topic&utm_source=5efbbbd2-c92b-4452-86dc-a638e89d7dc5&utm_content=daily,Preliminary analysis of the consultation responses from the 'Growing up in the online world' consultation.,RF
2026-06-08 09:09:37,Breakfast club early adopters: interim evaluation,political_environment_key_organisations,Included,False,https://www.gov.uk/government/publications/breakfast-club-early-adopters-interim-evaluation?utm_medium=email&utm_campaign=govuk-notifications-topic&utm_source=c148dbf2-ed05-4790-9131-1f7a0bc5e34a&utm_content=daily,Reports on how free breakfast clubs in the early adopter scheme work in practice and how families experience them.,RF
2026-06-08 09:19:22,School workforce in England 2025,teacher_rrd,Delete,False,https://explore-education-statistics.service.gov.uk/find-statistics/school-workforce-in-england/2025,"Annual statistics on teachers and support staff (TAs) in England., including age, sex, ethnicity, pupil teacher ratio (PTR), retention, pay, subject taught and absence.",RF
2026-06-08 09:23:57,"Falling pupil numbers should lead to smaller class sizes, says union",teacher_rrd,Included,False,https://www.bbc.co.uk/news/articles/crrpg7rgelro,Following the DfE report on teacher numbers the NEU calls for the government to cut class sizes instead of teacher recruitment.,RF
2026-06-08 14:27:48,Ofsted: It is time for a primary-specific inspection framework?,policy_practice_research,Exclude - out of date,False,https://www.headteacher-update.com/content/opinion/primary-specific-inspection?utm_source=content_recommendation&utm_medium=blueconic,Peter Cansell and Philip Marples argue that a distinct model for primary school and early years inspection is sorely needed.,GM
2026-06-08 16:49:36,Invitation to inspection: A shared quest for improvement ,what_matters_ed,Included 115,True,https://www.headteacher-update.com/content/best-practice/rethinking-ofsted-collaborative-inspection-model,"Peter Cansell and Philip Marples set out a a radical new model of inspection in which primary schools would choose their inspection date, feedback would be constructive, and judgements narrative. ",GM
2026-06-09 14:26:52,Call for Contributions to a new report on: Equitable Access to Play Across the North of England,policy_practice_research,Included,False,https://www.n8research.org.uk/call-for-contributions-equitable-access-to-play/,"Submissions can cover activity in any setting where play happens: communities, schools, homes, streets and neighbourhoods, public spaces or online. They are particularly interested in evidence, case studies, programmes and policies from the North of England .",GM
2026-06-09 15:06:54,Fairness in school exclusions: A roadmap for change,policy_practice_research,Included,False,https://www.coram.org.uk/resource/fairness-in-school-exclusions/,A report highlighting how children with the greatest level of need can lose access to education through informal exclusionary practices with little transparency or independent scrutiny,
2026-06-09 15:33:06,Ministers to issue guidance on children's screen use,policy_practice_research,Included,False,https://www.bbc.co.uk/news/articles/ce37wlg1kl3o,The government has launched a three-week call for evidence to inform guidance - which will be published in the autumn - to give parents advice on healthy screen use,GM
